Year,Site,F10,F50,F90,F10L,F50L,F90L,F10U,F50U,F90U,First.male.flight,First.flight,Last.flight,Last_First,F90_F10,GrowthRate,N.aphids,N.flights,Synchrony,site.year,ppt.ONDJFM,ppt.AMJJAS,tmean.ONDJFM,tmean.AMJJAS,Prop.cropland,Prop.forestwetland,Edge.density,Longitude,Latitude
2008,Orr,215.456314049384,248.833645814445,282.210977579505,178.295153298443,240.058783008713,266.054780601977,231.631589885803,257.488250108277,319.111499245297,NA,144,291,147,66.7546635301208,0.0164552666931803,553,20,0.06,Orr_2008,0.812469311593611,1.55617398814255,-0.161965211471125,-1.73074097336949,0.48069717075183,0.301293730734413,121.689604987223,-90.82,39.81
2009,Orr,256.532812549331,265.301446139731,274.07007973013,248.619166080654,263.700978471922,270.825979356597,259.822647892814,266.915483508969,281.959994505839,NA,149,289,140,17.5372671807982,0.0626360869157821,240,12,0.25,Orr_2009,-0.455899638491142,0.295400703232297,-0.187291215126471,-1.69003273706025,0.482725428856268,0.303344907009523,134.264617688291,-90.82,39.81
2010,Orr,220.771761138726,263.754336150651,306.736911162575,172.095959964415,249.739519588427,282.694884299485,245.458504495419,277.699746888861,358.172652974452,NA,148,288,140,85.9651500238485,0.0127780361122724,79,13,0.05,Orr_2010,2.08881288495608,2.09868956997606,-0.576437958163667,1.68647925262133,0.487297603905257,0.301179139881054,126.067176237351,-90.82,39.81
2011,Orr,86.4523264701214,164.402494617377,242.352662764634,-6.88927175784411,127.064100116195,187.0447409492,143.707971756906,201.129824322847,337.705685542362,NA,133,280,147,155.900336294512,0.0070459488254504,59,12,0.02,Orr_2011,-0.91700004428774,-0.176163083387661,-0.330912539838352,-0.194562544895925,0.624623282569586,0.305121065236573,139.883646753683,-90.82,39.81
2012,Orr,218.091417465949,233.266586761486,248.441756057023,200.53246078727,228.021446931044,239.700324973044,226.762889093637,238.383796362339,265.836473951004,NA,146,258,112,30.3503385910734,0.0361928677700074,30,6,0.14,Orr_2012,-0.75925912462225,-0.99556978297373,1.59699423775424,0.765157248918508,0.497427435342111,0.301935439513218,122.889044230277,-90.82,39.81
2013,Orr,240.705339747477,247.428689514601,254.152039281725,237.832636289067,246.698037766455,252.526309119866,242.339168679947,248.145046095737,257.082908724595,NA,165,284,119,13.4466995342478,0.0816903648812886,453,14,0.32,Orr_2013,0.19775672343927,0.191055818939577,-0.213602882858291,-1.14388501604629,0.489039384876299,0.300800990064973,121.888238237665,-90.82,39.81
2014,Orr,208.482292463538,226.46011375933,244.437935055122,188.949040549266,222.265348994298,236.622974071459,216.422547349811,230.653923945562,263.228393629722,NA,150,297,147,35.9556425915837,0.0305505815562531,272,12,0.12,Orr_2014,-1.0063326113096,0.556870755331615,-1.5771376448005,-1.06004845071443,0.495364799981665,0.305946119380751,120.21513508971,-90.82,39.81
2015,Orr,221.172187626571,237.523110126447,253.874032626323,214.9040289387,235.934358508909,250.147684236116,224.887745590935,239.121040756547,260.133159823124,NA,184,289,105,32.7018449997526,0.033590330802742,218,10,0.13,Orr_2015,-0.845249725965542,0.852466837271069,-0.781660258340025,0.557491207420072,0.514948376820562,0.30614092383146,121.559729400395,-90.82,39.81
2016,Orr,187.74556777141,232.956269420168,278.166971068926,136.961035739591,214.880090578394,248.877752900539,217.194895088601,251.027715569496,329.920554263026,NA,141,281,140,90.421403297516,0.0121482940027739,159,11,0.04,Orr_2016,0.435386676948653,-0.450626315813816,1.28204726053604,0.74590316336764,0.527622125201966,0.308673381690674,113.186573920218,-90.82,39.81
2017,Orr,233.38264997968,249.092072260209,264.801494540739,223.003762077767,246.722456688243,259.736159637594,238.509195329304,251.491194815312,275.733485593126,NA,139,279,140,31.4188445610589,0.0349620047060273,191,11,0.13,Orr_2017,-1.44699605617003,-0.0119335165823298,1.45305149357472,0.0427547474299551,0.527450238921929,0.308134804679891,115.421197987692,-90.82,39.81
