Year,Site,F10,F50,F90,F10L,F50L,F90L,F10U,F50U,F90U,First.male.flight,First.flight,Last.flight,Last_First,F90_F10,GrowthRate,N.aphids,N.flights,Synchrony,site.year,ppt.ONDJFM,ppt.AMJJAS,tmean.ONDJFM,tmean.AMJJAS,Prop.cropland,Prop.forestwetland,Edge.density,Longitude,Latitude
2011,Rosemount,235.127430943622,252.814076735339,270.500722527056,216.868826873363,248.944200916056,262.848673856326,242.648021114404,256.788330499909,288.182513886885,NA,231,266,35,35.3732915834338,0.0310535362198556,75,5,0.14,Rosemount_2011,1.24218926078132,-0.722420086090209,-0.446625423067596,-0.287371026291404,0.530506318961467,0.132360186532534,226.197023864088,-93.1,44.71
2012,Rosemount,236.811159981717,243.253622753273,249.696085524829,235.905719823876,242.968295176928,248.950067930218,237.541728623044,243.547254949821,250.584858284461,NA,209,258,49,12.8849255431121,0.0852520092356106,183,6,0.34,Rosemount_2012,-1.13027322882135,0.135723191783988,1.66969029130572,1.37773549405853,0.519793301786266,0.119275410474696,220.013291777432,-93.1,44.71
2013,Rosemount,222.320175415262,236.729120487478,251.138065559693,206.487810967783,233.007070737891,244.351148914857,229.091389775157,240.431271661561,266.396226422917,NA,228,263,35,28.8178901444317,0.038117495274508,20,5,0.15,Rosemount_2013,-0.491443367712531,-0.310995684119481,-0.15743133914469,-1.45217546588637,0.496980876977898,0.09395373351513,206.419775720353,-93.1,44.71
2014,Rosemount,225.75828351596,248.000789107513,270.243294699067,202.698530010079,242.783821113904,260.473752894254,235.446700952115,253.235811101302,292.536778717501,NA,234,269,35,44.4850111831076,0.0246929417839236,4,4,0.09,Rosemount_2014,-0.583807585707204,0.995885938201298,-1.37256137279939,-1.11865370642798,0.51720384522841,0.0793909048202849,219.493843004247,-93.1,44.71
2015,Rosemount,232.74062306571,245.065881875844,257.391140685977,219.753348926529,242.167691245571,251.941659685743,238.26446229746,247.920849078788,270.211970756219,NA,240,268,28,24.650517620267,0.0445615710113302,8,3,0.7,Rosemount_2015,-1.69924737810099,1.17963981975079,-0.297337881262378,0.0440858181177028,0.513938380100141,0.0910434593306369,212.347602896691,-93.1,44.71
2016,Rosemount,241.498096738484,242.140090152566,242.782083566648,241.498068629986,242.140080102896,242.782055446231,241.498123585163,242.140100103517,242.782110751588,NA,246,246,0,1.2839868281643,0.855511729020328,1,1,1,Rosemount_2016,2.18322902184812,0.652355958013289,1.18115896007131,1.1807358669372,0.513193624895448,0.0862999415653608,207.240963119137,-93.1,44.71
2017,Rosemount,232.658478606203,247.912982912313,263.167487218424,219.878521975287,245.345033536913,257.800002454375,238.039625325672,250.568633754857,276.110989948726,NA,237,272,35,30.5090086122207,0.036004637363457,28,6,0.14,Rosemount_2017,0.383717232425568,0.600498413753319,1.04459120541568,-0.134846358539018,0.52482326386104,0.0932891827170961,206.09130076084,-93.1,44.71
2018,Rosemount,218.827524541828,230.894287579713,242.961050617597,212.692333978279,229.411864126566,239.764194886783,222.000262804055,232.35070357539,249.268527409555,NA,215,243,28,24.1335260757688,0.0455161747998583,13,5,0.18,Rosemount_2018,-0.297717826474716,0.365563353037363,-0.379321641968594,-0.0297344617577617,0.520847416845217,0.0946297420855437,223.416445137043,-93.1,44.71
2019,Rosemount,234.802455966207,249.575509705197,264.348563444187,225.509042883211,247.527112871313,260.067483190102,239.021447613906,251.58604510468,273.575163101623,NA,235,277,42,29.54610747798,0.0371780205639723,38,7,0.14,Rosemount_2019,0.0732446543638591,1.22785044976878,-2.21820445332472,-0.707340673701476,0.460499329720316,0.0980899893442716,239.77968503516,-93.1,44.71
2005,SEPAC,230.214691688042,242.166437579966,254.118183471891,224.269954497085,240.72043556773,251.019413722735,233.374914061463,243.563745461331,260.127472796529,NA,196,308,112,23.9034917838489,0.0459541978776422,574,16,0.18,SEPAC_2005,0.684058653809188,-0.152024365571674,0.361291200812411,0.244333823560409,0.371784146774692,0.474565394267903,173.27304582004,-85.53,39.04
